Years,Employment rate,Unemployment rate,
1971,24.5,4.1,0
1972,24.6,4.3,0
1973,25,3.7,0
1974,25,3.7,0
1975,24.9,4.5,0
1976,24.8,5.4,0
1977,24.8,5.6,0
1978,24.9,5.5,0
1979,25.2,5.4,0
1980,25.1,6.8,0
1981,24.4,9.6,0
1982,24,10.7,0
1983,23.8,11.5,0
1984,24.3,11.8,0
1985,24.6,11.4,0
1986,24.7,11.3,0
1987,25.2,10.4,0
1988,26.1,8.6,0
1989,26.7,7.2,0
1990,26.9,7.1,0
1991,26.2,8.9,0
1992,25.5,9.9,0
1993,25.3,10.4,0
1994,25.5,9.5,0
1995,25.8,8.6,0
1996,26.1,8.1,0
1997,26.5,6.9,0
1998,26.8,6.2,0
1999,27.2,6,0
2000,27.5,5.4,0
2001,27.7,5.1,0
2002,27.9,5.2,0
2003,28.2,5,0
2004,28.5,4.8,0
2005,28.9,4.8,0
2006,29.1,5.4,0
2007,29.4,5.3,0
2008,29.6,5.7,0
2009,29.2,7.6,0
2010,29.2,7.9,0
2011,29.4,8.1,0
2012,29.7,8,0
2013,30.1,7.6,0
2014,30.8,6.2,0
2015,31.3,5.4,0
2016,31.8,4.9,0
2017,32.1,4.4,0
2018,32.5,4.2,0
2019,32.8,3.9,0
2020,32.5,4.7,0
2021,32.5,4.6,0
2022,32.9,3.9,0
2023,33.2,4,0
1971 Q1,24.6,3.8,0
1971 Q2,24.6,4.1,0
1971 Q3,24.5,4.2,0
1971 Q4,24.4,4.4,0
1972 Q1,24.5,4.5,0
1972 Q2,24.5,4.4,0
1972 Q3,24.6,4.3,0
1972 Q4,24.7,4.2,0
1973 Q1,24.9,3.9,0
1973 Q2,25,3.7,0
1973 Q3,25,3.6,0
1973 Q4,25,3.4,0
1974 Q1,25,3.6,0
1974 Q2,25,3.6,0
1974 Q3,25.1,3.7,0
1974 Q4,25.1,3.7,0
1975 Q1,25,4,0
1975 Q2,25,4.3,0
1975 Q3,24.9,4.7,0
1975 Q4,24.9,5,0
1976 Q1,24.8,5.3,0
1976 Q2,24.8,5.4,0
1976 Q3,24.8,5.5,0
1976 Q4,24.8,5.5,0
1977 Q1,24.8,5.5,0
1977 Q2,24.8,5.5,0
1977 Q3,24.8,5.7,0
1977 Q4,24.8,5.7,0
1978 Q1,24.9,5.6,0
1978 Q2,24.9,5.6,0
1978 Q3,24.9,5.5,0
1978 Q4,25.1,5.4,0
